Date,Mkt-RF,SMB,HML,RF,Mkt
19710603,0.0018,0.0043,-0.0008,0.00017,0.00197
19710604,0.0025,0.0005,-0.0018,0.00017,0.00267
19710607,-0.0016,0.0011,-0.0016,0.00017,-0.00143
19710608,-0.0079,-0.0019,0.0029,0.00017,-0.00773
19710609,-0.0007,-0.0032,-0.0015,0.00017,-0.00053
19710610,0.0029,-0.0012,-0.0021,0.00017,0.00307
19710611,0.0034,-0.0031,-0.0027,0.00017,0.00357
19710614,-0.0081,-0.0016,-0.0005,0.00017,-0.00793
19710615,0.0002,-0.0044,-0.0019,0.00017,0.00037
19710616,0.0016,-0.003,-0.0049,0.00017,0.00177
19710617,-0.0003,-0.003,-0.0003,0.00017,-0.00013
19710618,-0.0154,-0.006,0.0009,0.00017,-0.01523
19710621,-0.0121,-0.0056,0.0008,0.00017,-0.01193
19710622,-0.003,-0.0007,-0.0001,0.00017,-0.00283
19710623,0.0086,0.0035,-0.0035,0.00017,0.00877
19710624,-0.0017,0.0018,0.0023,0.00017,-0.00153
19710625,-0.002,0.0014,0.0008,0.00017,-0.00183
19710628,-0.0026,0.0002,-0.0013,0.00017,-0.00243
19710629,0.0111,0.0018,0.0005,0.00017,0.01127
19710630,0.0092,0.0009,-0.0005,0.00017,0.00937
19710701,0.001,0.001,-0.0003,0.00019,0.00119
19710702,0.0004,0.0016,-0.0018,0.00019,0.00059
19710706,0.0006,0.0029,-0.0027,0.00019,0.00079
19710707,0.0035,0.0029,-0.0012,0.00019,0.00369
19710708,0.0033,-0.0026,-0.0011,0.00019,0.00349
19710709,0.0034,-0.0003,-0.0014,0.00019,0.00359
19710712,0.0011,-0.0012,0.0005,0.00019,0.00129
19710713,-0.0129,0.0002,0.0018,0.00019,-0.01271
19710714,-0.0017,0.0013,-0.0003,0.00019,-0.00151
19710715,0.0003,0.0012,-0.0005,0.00019,0.00049
19710716,-0.0021,0.0011,0.0013,0.00019,-0.00191
19710719,-0.0024,-0.0012,-0.0001,0.00019,-0.00221
19710720,0.0037,-0.0028,0.0008,0.00019,0.00389
19710721,-0.0008,-0.0009,-0.0014,0.00019,-0.00061
19710722,-0.0025,-0.0025,0.0012,0.00019,-0.00231
19710723,-0.0017,0.0002,0.0001,0.00019,-0.00151
19710726,-0.0034,-0.001,0.0018,0.00019,-0.00321
19710727,-0.0099,-0.0035,0.002,0.00019,-0.00971
19710728,-0.0084,-0.0032,-0.0005,0.00019,-0.00821
19710729,-0.0127,-0.0065,0.0003,0.00019,-0.01251
19710730,-0.0047,-0.0029,0.001,0.00019,-0.00451
19710802,0.0049,0.0031,0.0078,0.00021,0.00511
19710803,-0.0164,-0.0057,0,0.00021,-0.01619
19710804,-0.0059,-0.0006,-0.0008,0.00021,-0.00569
19710805,0.0024,-0.0002,-0.0009,0.00021,0.00261
19710806,0.0026,0.0008,-0.0025,0.00021,0.00281
19710809,-0.0077,-0.002,-0.0009,0.00021,-0.00749
19710810,0,-0.0034,0.0006,0.00021,0.00021
19710811,0.0122,-0.0004,-0.0021,0.00021,0.01241
19710812,0.0141,0.0014,-0.0034,0.00021,0.01431
19710813,-0.003,0.001,0.0029,0.00021,-0.00279
19710816,0.0362,0.0091,0.0126,0.00021,0.03641
19710817,0.0066,-0.0017,0.003,0.00021,0.00681
19710818,-0.0134,0.002,-0.0026,0.00021,-0.01319
19710819,-0.0047,-0.0027,0.0026,0.00021,-0.00449
19710820,0.0017,0.0006,-0.0003,0.00021,0.00191
19710823,0.0089,-0.0064,0.0044,0.00021,0.00911
19710824,0.0092,-0.0042,0.005,0.00021,0.00941
19710825,0.0009,0.0019,0.0002,0.00021,0.00111
19710826,-0.0012,0.0004,-0.001,0.00021,-0.00099
19710827,0.0023,0.0011,0.0013,0.00021,0.00251
19710830,-0.0092,0.0034,0.0014,0.00021,-0.00899
19710831,-0.0049,0.0014,-0.0017,0.00021,-0.00469
19710901,0.0004,0,0.0014,0.00017,0.00057
19710902,0.0025,0.0005,0.0004,0.00017,0.00267
19710903,0.0139,0.001,0.0013,0.00017,0.01407
19710907,0.0049,0.0024,0.0011,0.00017,0.00507
19710908,0.002,0.0015,-0.004,0.00017,0.00217
19710909,-0.0048,0.0013,-0.0024,0.00017,-0.00463
19710910,-0.0035,0.002,-0.0023,0.00017,-0.00333
19710913,-0.0036,-0.0006,-0.0002,0.00017,-0.00343
19710914,-0.0076,0.0002,-0.0011,0.00017,-0.00743
19710915,0.0036,-0.002,-0.0027,0.00017,0.00377
19710916,-0.0018,0.0019,-0.0023,0.00017,-0.00163
19710917,0.003,-0.0017,-0.0014,0.00017,0.00317
19710920,-0.0032,-0.0018,-0.0023,0.00017,-0.00303
19710921,-0.0032,0.0014,-0.0008,0.00017,-0.00303
19710922,-0.0089,-0.0026,-0.0006,0.00017,-0.00873
19710923,-0.001,-0.0013,-0.0014,0.00017,-0.00083
19710924,-0.0018,0.0039,-0.0015,0.00017,-0.00163
19710927,-0.0057,-0.0009,-0.0036,0.00017,-0.00553
19710928,0.0019,-0.001,-0.0003,0.00017,0.00207
19710929,0.0001,0.0017,-0.0044,0.00017,0.00027
19710930,0.0046,-0.0004,-0.0018,0.00017,0.00477
19711001,0.0061,0.002,-0.0022,0.00017,0.00627
19711004,0.0026,0.001,-0.0004,0.00017,0.00277
19711005,-0.0012,-0.0004,-0.0021,0.00017,-0.00103
19711006,0.0073,-0.0019,0.0026,0.00017,0.00747
19711007,0.0021,0.0004,0.0016,0.00017,0.00227
19711008,-0.0062,-0.0002,0.0014,0.00017,-0.00603
19711011,-0.0022,0.0008,0.0013,0.00017,-0.00203
19711012,0.0035,-0.001,-0.0001,0.00017,0.00367
19711013,-0.0051,0.0017,-0.0013,0.00017,-0.00493
